FSA,Bracket,Number
A0N,"$45,000 to $49,999",480
A0N,"$50,000 to $54,999",370
A0N,"$55,000 to $59,999",310
A0N,"$60,000 to $69,999",480
A0N,"$70,000 to $79,999",290
A0N,"$80,000 to $89,999",210
A0N,"$90,000 to $99,999",170
A0N,"$100,000 to $149,999",330
A0N,"$150,000 to $249,999",80
A0N,"$250,000 and over",10
A0P,"Under $5,000",1320
A0P,"$5,000 to $9,999",570
A0P,"$10,000 to $14,999",570
A0P,"$15,000 to $19,999",570
A0P,"$20,000 to $24,999",500
A0P,"$25,000 to $29,999",460
A0P,"$30,000 to $34,999",460
A0P,"$35,000 to $39,999",440
A0P,"$40,000 to $44,999",430
A0P,"$45,000 to $49,999",440
A0P,"$50,000 to $54,999",410
A0P,"$55,000 to $59,999",350
A0P,"$60,000 to $69,999",630
A0P,"$70,000 to $79,999",500
A0P,"$80,000 to $89,999",420
A0P,"$90,000 to $99,999",400
A0P,"$100,000 to $149,999",960
A0P,"$150,000 to $249,999",250
A0P,"$250,000 and over",60
A0R,"Under $5,000",130
A0R,"$5,000 to $9,999",60
A0R,"$10,000 to $14,999",70
A0R,"$15,000 to $19,999",70
A0R,"$20,000 to $24,999",80
A0R,"$25,000 to $29,999",80
A0R,"$30,000 to $34,999",80
A0R,"$35,000 to $39,999",80
A0R,"$40,000 to $44,999",80
A0R,"$45,000 to $49,999",90
A0R,"$50,000 to $54,999",60
A0R,"$55,000 to $59,999",50
A0R,"$60,000 to $69,999",90
A0R,"$70,000 to $79,999",100
A0R,"$80,000 to $89,999",80
A0R,"$90,000 to $99,999",110
A0R,"$100,000 to $149,999",430
A0R,"$150,000 to $249,999",250
A0R,"$250,000 and over",20
A1A,"Under $5,000",1610
A1A,"$5,000 to $9,999",1170
A1A,"$10,000 to $14,999",1400
A1A,"$15,000 to $19,999",1410
A1A,"$20,000 to $24,999",1520
A1A,"$25,000 to $29,999",1180
A1A,"$30,000 to $34,999",1210
A1A,"$35,000 to $39,999",1170
A1A,"$40,000 to $44,999",1110
A1A,"$45,000 to $49,999",1240
A1A,"$50,000 to $54,999",960
A1A,"$55,000 to $59,999",890
A1A,"$60,000 to $69,999",1500
A1A,"$70,000 to $79,999",1320
A1A,"$80,000 to $89,999",1000
A1A,"$90,000 to $99,999",850
A1A,"$100,000 to $149,999",2150
A1A,"$150,000 to $249,999",990
A1A,"$250,000 and over",550
A1B,"Under $5,000",1960
A1B,"$5,000 to $9,999",1330
A1B,"$10,000 to $14,999",1490
A1B,"$15,000 to $19,999",1290
A1B,"$20,000 to $24,999",1110
A1B,"$25,000 to $29,999",860
A1B,"$30,000 to $34,999",750
A1B,"$35,000 to $39,999",720
A1B,"$40,000 to $44,999",650
A1B,"$45,000 to $49,999",660
A1B,"$50,000 to $54,999",540
A1B,"$55,000 to $59,999",460
A1B,"$60,000 to $69,999",790
A1B,"$70,000 to $79,999",640
A1B,"$80,000 to $89,999",480
A1B,"$90,000 to $99,999",390
A1B,"$100,000 to $149,999",1050
A1B,"$150,000 to $249,999",500
A1B,"$250,000 and over",260
A1C,"Under $5,000",940
A1C,"$5,000 to $9,999",810
A1C,"$10,000 to $14,999",1160
A1C,"$15,000 to $19,999",1000
A1C,"$20,000 to $24,999",850
A1C,"$25,000 to $29,999",570
A1C,"$30,000 to $34,999",540
A1C,"$35,000 to $39,999",490
A1C,"$40,000 to $44,999",510
A1C,"$45,000 to $49,999",450
A1C,"$50,000 to $54,999",350
A1C,"$55,000 to $59,999",330
A1C,"$60,000 to $69,999",460
A1C,"$70,000 to $79,999",410
A1C,"$80,000 to $89,999",300
A1C,"$90,000 to $99,999",250
A1C,"$100,000 to $149,999",580
A1C,"$150,000 to $249,999",230
A1C,"$250,000 and over",180
A1E,"Under $5,000",1420
A1E,"$5,000 to $9,999",1240
A1E,"$10,000 to $14,999",1890
A1E,"$15,000 to $19,999",1970
A1E,"$20,000 to $24,999",1890
A1E,"$25,000 to $29,999",1400
A1E,"$30,000 to $34,999",1340
A1E,"$35,000 to $39,999",1290
A1E,"$40,000 to $44,999",1270
A1E,"$45,000 to $49,999",1220
A1E,"$50,000 to $54,999",920
A1E,"$55,000 to $59,999",770
A1E,"$60,000 to $69,999",1280
A1E,"$70,000 to $79,999",1060
A1E,"$80,000 to $89,999",750
A1E,"$90,000 to $99,999",570
A1E,"$100,000 to $149,999",1350
A1E,"$150,000 to $249,999",450
A1E,"$250,000 and over",170
A1G,"Under $5,000",220
A1G,"$5,000 to $9,999",240
A1G,"$10,000 to $14,999",310
A1G,"$15,000 to $19,999",350
A1G,"$20,000 to $24,999",360
A1G,"$25,000 to $29,999",260
A1G,"$30,000 to $34,999",280
A1G,"$35,000 to $39,999",310
A1G,"$40,000 to $44,999",280
A1G,"$45,000 to $49,999",270
A1G,"$50,000 to $54,999",200
A1G,"$55,000 to $59,999",200
A1G,"$60,000 to $69,999",280
A1G,"$70,000 to $79,999",240
A1G,"$80,000 to $89,999",170
A1G,"$90,000 to $99,999",140
A1G,"$100,000 to $149,999",330
A1G,"$150,000 to $249,999",100
A1G,"$250,000 and over",30
A1H,"Under $5,000",240
A1H,"$5,000 to $9,999",170
A1H,"$10,000 to $14,999",180
A1H,"$15,000 to $19,999",180
A1H,"$20,000 to $24,999",170
A1H,"$25,000 to $29,999",150
A1H,"$30,000 to $34,999",160
A1H,"$35,000 to $39,999",180
A1H,"$40,000 to $44,999",150
A1H,"$45,000 to $49,999",210
A1H,"$50,000 to $54,999",160
A1H,"$55,000 to $59,999",180
A1H,"$60,000 to $69,999",330
A1H,"$70,000 to $79,999",300
A1H,"$80,000 to $89,999",230
A1H,"$90,000 to $99,999",250
A1H,"$100,000 to $149,999",670
A1H,"$150,000 to $249,999",300
A1H,"$250,000 and over",110
A1K,"Under $5,000",540
A1K,"$5,000 to $9,999",440
A1K,"$10,000 to $14,999",570
A1K,"$15,000 to $19,999",550
A1K,"$20,000 to $24,999",590
A1K,"$25,000 to $29,999",430
A1K,"$30,000 to $34,999",520
A1K,"$35,000 to $39,999",530
A1K,"$40,000 to $44,999",510
A1K,"$45,000 to $49,999",490
A1K,"$50,000 to $54,999",490
A1K,"$55,000 to $59,999",400
A1K,"$60,000 to $69,999",700
A1K,"$70,000 to $79,999",560
A1K,"$80,000 to $89,999",460
A1K,"$90,000 to $99,999",370
A1K,"$100,000 to $149,999",1060
A1K,"$150,000 to $249,999",440
A1K,"$250,000 and over",170
A1L,"Under $5,000",800
A1L,"$5,000 to $9,999",710
A1L,"$10,000 to $14,999",860
A1L,"$15,000 to $19,999",820
A1L,"$20,000 to $24,999",860
A1L,"$25,000 to $29,999",730
A1L,"$30,000 to $34,999",750
A1L,"$35,000 to $39,999",780
A1L,"$40,000 to $44,999",810
A1L,"$45,000 to $49,999",860
A1L,"$50,000 to $54,999",730
A1L,"$55,000 to $59,999",790
A1L,"$60,000 to $69,999",1190
A1L,"$70,000 to $79,999",1070
A1L,"$80,000 to $89,999",890
A1L,"$90,000 to $99,999",750
A1L,"$100,000 to $149,999",2050
A1L,"$150,000 to $249,999",750
A1L,"$250,000 and over",200
A1M,"Under $5,000",370
A1M,"$5,000 to $9,999",300
A1M,"$10,000 to $14,999",370
A1M,"$15,000 to $19,999",380
A1M,"$20,000 to $24,999",430
A1M,"$25,000 to $29,999",340
A1M,"$30,000 to $34,999",310
A1M,"$35,000 to $39,999",300
A1M,"$40,000 to $44,999",310
A1M,"$45,000 to $49,999",320
A1M,"$50,000 to $54,999",280
A1M,"$55,000 to $59,999",240
A1M,"$60,000 to $69,999",430
A1M,"$70,000 to $79,999",380
A1M,"$80,000 to $89,999",280
A1M,"$90,000 to $99,999",240
A1M,"$100,000 to $149,999",670
A1M,"$150,000 to $249,999",300
A1M,"$250,000 and over",130
A1N,"Under $5,000",910
A1N,"$5,000 to $9,999",860
A1N,"$10,000 to $14,999",1290
A1N,"$15,000 to $19,999",1330
