fsa,characteristic_id,characteristic_name,count_total,rate_total
B2Z,28,    80 to 84 years,160.0,1.9
B2Z,29,    85 years and over,105.0,1.3
B2Z,30,      85 to 89 years,75.0,0.9
B2Z,40,Median age of the population,47.6,47.6
B2Z,383,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,8335.0,100.0
B2Z,386,  English and French,860.0,10.3
B2Z,1414,Total - Private households by tenure - 25% sample data,3200.0,100.0
B2Z,1415,  Owner,2975.0,93.0
B2Z,1416,  Renter,230.0,7.2
B2Z,1486,  Median monthly shelter costs for owned dwellings ($),1180.0,1180.0
B2Z,1488,  Median value of dwellings ($),324000.0,324000.0
B2Z,1494,  Median monthly shelter costs for rented dwellings ($),1020.0,1020.0
B2Z,1998,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",6975.0,100.0
B2Z,1999,"  No certificate, diploma or degree",945.0,13.5
B2Z,2000,  High (secondary) school diploma or equivalency certificate,2190.0,31.4
B2Z,2001,"  Postsecondary certificate, diploma or degree",3845.0,55.1
B2Z,2002,    Postsecondary certificate or diploma below bachelor level,2480.0,35.6
B2Z,2008,    Bachelor's degree or higher,1365.0,19.6
B2Z,2009,      Bachelor's degree,920.0,13.2
B2Z,2012,      Master's degree,255.0,3.7
B2Z,2013,      Earned doctorate,25.0,0.4
B3A,1,"Population, 2021",21857.0,
B3A,8,Total - Age groups of the population - 100% data,21855.0,100.0
B3A,9,  0 to 14 years,2590.0,11.9
B3A,13,  15 to 64 years,15490.0,70.9
B3A,24,  65 years and over,3775.0,17.3
B3A,25,    65 to 69 years,1325.0,6.1
B3A,26,    70 to 74 years,1040.0,4.8
B3A,27,    75 to 79 years,595.0,2.7
B3A,28,    80 to 84 years,420.0,1.9
B3A,29,    85 years and over,385.0,1.8
B3A,30,      85 to 89 years,260.0,1.2
B3A,40,Median age of the population,40.8,40.8
B3A,383,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,21785.0,100.0
B3A,386,  English and French,2130.0,9.8
B3A,1414,Total - Private households by tenure - 25% sample data,11520.0,100.0
B3A,1415,  Owner,3395.0,29.5
B3A,1416,  Renter,8125.0,70.5
B3A,1486,  Median monthly shelter costs for owned dwellings ($),1230.0,1230.0
B3A,1488,  Median value of dwellings ($),348000.0,348000.0
B3A,1494,  Median monthly shelter costs for rented dwellings ($),930.0,930.0
B3A,1998,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",19285.0,100.0
B3A,1999,"  No certificate, diploma or degree",2755.0,14.3
B3A,2000,  High (secondary) school diploma or equivalency certificate,5295.0,27.5
B3A,2001,"  Postsecondary certificate, diploma or degree",11240.0,58.3
B3A,2002,    Postsecondary certificate or diploma below bachelor level,5995.0,31.1
B3A,2008,    Bachelor's degree or higher,5245.0,27.2
B3A,2009,      Bachelor's degree,3585.0,18.6
B3A,2012,      Master's degree,1095.0,5.7
B3A,2013,      Earned doctorate,155.0,0.8
B3B,1,"Population, 2021",1688.0,
B3B,8,Total - Age groups of the population - 100% data,1690.0,100.0
B3B,9,  0 to 14 years,305.0,18.0
B3B,13,  15 to 64 years,1210.0,71.6
B3B,24,  65 years and over,175.0,10.4
B3B,25,    65 to 69 years,55.0,3.3
B3B,26,    70 to 74 years,40.0,2.4
B3B,27,    75 to 79 years,20.0,1.2
B3B,28,    80 to 84 years,40.0,2.4
B3B,29,    85 years and over,25.0,1.5
B3B,30,      85 to 89 years,5.0,0.3
B3B,40,Median age of the population,34.8,34.8
B3B,383,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,1375.0,100.0
B3B,386,  English and French,130.0,9.5
B3B,1414,Total - Private households by tenure - 25% sample data,590.0,100.0
B3B,1415,  Owner,0.0,0.0
B3B,1416,  Renter,580.0,98.3
B3B,1486,  Median monthly shelter costs for owned dwellings ($),,
B3B,1488,  Median value of dwellings ($),,
B3B,1494,  Median monthly shelter costs for rented dwellings ($),1380.0,1380.0
B3B,1998,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",1080.0,100.0
B3B,1999,"  No certificate, diploma or degree",120.0,11.1
B3B,2000,  High (secondary) school diploma or equivalency certificate,340.0,31.5
B3B,2001,"  Postsecondary certificate, diploma or degree",620.0,57.4
B3B,2002,    Postsecondary certificate or diploma below bachelor level,410.0,38.0
B3B,2008,    Bachelor's degree or higher,210.0,19.4
B3B,2009,      Bachelor's degree,165.0,15.3
B3B,2012,      Master's degree,30.0,2.8
B3B,2013,      Earned doctorate,0.0,0.0
B3E,1,"Population, 2021",7085.0,
B3E,8,Total - Age groups of the population - 100% data,7085.0,100.0
B3E,9,  0 to 14 years,1150.0,16.2
B3E,13,  15 to 64 years,4715.0,66.5
B3E,24,  65 years and over,1225.0,17.3
B3E,25,    65 to 69 years,470.0,6.6
B3E,26,    70 to 74 years,350.0,4.9
B3E,27,    75 to 79 years,230.0,3.2
B3E,28,    80 to 84 years,105.0,1.5
B3E,29,    85 years and over,65.0,0.9
B3E,30,      85 to 89 years,45.0,0.6
B3E,40,Median age of the population,44.4,44.4
B3E,383,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,7085.0,100.0
B3E,386,  English and French,760.0,10.7
B3E,1414,Total - Private households by tenure - 25% sample data,2950.0,100.0
B3E,1415,  Owner,2690.0,91.2
B3E,1416,  Renter,260.0,8.8
B3E,1486,  Median monthly shelter costs for owned dwellings ($),1000.0,1000.0
B3E,1488,  Median value of dwellings ($),300000.0,300000.0
B3E,1494,  Median monthly shelter costs for rented dwellings ($),1020.0,1020.0
B3E,1998,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",6080.0,100.0
B3E,1999,"  No certificate, diploma or degree",785.0,12.9
B3E,2000,  High (secondary) school diploma or equivalency certificate,1795.0,29.5
B3E,2001,"  Postsecondary certificate, diploma or degree",3495.0,57.5
B3E,2002,    Postsecondary certificate or diploma below bachelor level,2450.0,40.3
B3E,2008,    Bachelor's degree or higher,1050.0,17.3
B3E,2009,      Bachelor's degree,705.0,11.6
B3E,2012,      Master's degree,230.0,3.8
B3E,2013,      Earned doctorate,15.0,0.2
B3G,1,"Population, 2021",11275.0,
B3G,8,Total - Age groups of the population - 100% data,11275.0,100.0
B3G,9,  0 to 14 years,1980.0,17.6
B3G,13,  15 to 64 years,7650.0,67.8
B3G,24,  65 years and over,1645.0,14.6
B3G,25,    65 to 69 years,595.0,5.3
B3G,26,    70 to 74 years,425.0,3.8
B3G,27,    75 to 79 years,275.0,2.4
B3G,28,    80 to 84 years,185.0,1.6
B3G,29,    85 years and over,165.0,1.5
B3G,30,      85 to 89 years,115.0,1.0
B3G,40,Median age of the population,40.8,40.8
B3G,383,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,11160.0,100.0
B3G,386,  English and French,1335.0,12.0
B3G,1414,Total - Private households by tenure - 25% sample data,4445.0,100.0
B3G,1415,  Owner,3875.0,87.2
B3G,1416,  Renter,565.0,12.7
B3G,1486,  Median monthly shelter costs for owned dwellings ($),1210.0,1210.0
B3G,1488,  Median value of dwellings ($),252000.0,252000.0
B3G,1494,  Median monthly shelter costs for rented dwellings ($),1140.0,1140.0
B3G,1998,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",9095.0,100.0
B3G,1999,"  No certificate, diploma or degree",1445.0,15.9
B3G,2000,  High (secondary) school diploma or equivalency certificate,2865.0,31.5
B3G,2001,"  Postsecondary certificate, diploma or degree",4785.0,52.6
B3G,2002,    Postsecondary certificate or diploma below bachelor level,3385.0,37.2
B3G,2008,    Bachelor's degree or higher,1400.0,15.4
B3G,2009,      Bachelor's degree,1025.0,11.3
B3G,2012,      Master's degree,265.0,2.9
B3G,2013,      Earned doctorate,25.0,0.3
B3H,1,"Population, 2021",20788.0,
B3H,8,Total - Age groups of the population - 100% data,20790.0,100.0
B3H,9,  0 to 14 years,1785.0,8.6
B3H,13,  15 to 64 years,15795.0,76.0
B3H,24,  65 years and over,3205.0,15.4
B3H,25,    65 to 69 years,820.0,3.9
B3H,26,    70 to 74 years,835.0,4.0
B3H,27,    75 to 79 years,595.0,2.9
B3H,28,    80 to 84 years,450.0,2.2
B3H,29,    85 years and over,510.0,2.5
B3H,30,      85 to 89 years,300.0,1.4
B3H,40,Median age of the population,29.0,29.0
B3H,383,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,20420.0,100.0
B3H,386,  English and French,4010.0,19.6
B3H,1414,Total - Private households by tenure - 25% sample data,10140.0,100.0
B3H,1415,  Owner,3035.0,29.9
B3H,1416,  Renter,7100.0,70.0
B3H,1486,  Median monthly shelter costs for owned dwellings ($),1540.0,1540.0
B3H,1488,  Median value of dwellings ($),800000.0,800000.0
B3H,1494,  Median monthly shelter costs for rented dwellings ($),1280.0,1280.0
B3H,1998,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",18390.0,100.0
B3H,1999,"  No certificate, diploma or degree",810.0,4.4
B3H,2000,  High (secondary) school diploma or equivalency certificate,4055.0,22.1
B3H,2001,"  Postsecondary certificate, diploma or degree",13530.0,73.6
B3H,2002,    Postsecondary certificate or diploma below bachelor level,2435.0,13.2
B3H,2008,    Bachelor's degree or higher,11095.0,60.3
B3H,2009,      Bachelor's degree,6525.0,35.5
B3H,2012,      Master's degree,2655.0,14.4
B3H,2013,      Earned doctorate,810.0,4.4
