timestamp_utc,timestamp_local,group,trips_tracked,trips_canceled,delays_observed,mean_delay_s,median_delay_s,p90_delay_s,pct_early,pct_ontime,pct_late,error
2026-07-13T00:15:01Z,2026-07-12T20:15:01-0400,otrain,0,0,0,,,,,,,
2026-07-13T00:15:01Z,2026-07-12T20:15:01-0400,unknown,0,0,0,,,,,,,
2026-07-13T00:30:01Z,2026-07-12T20:30:01-0400,all,232,0,0,,,,,,,
2026-07-13T00:30:01Z,2026-07-12T20:30:01-0400,bus,232,0,0,,,,,,,
2026-07-13T00:30:01Z,2026-07-12T20:30:01-0400,otrain,0,0,0,,,,,,,
2026-07-13T00:30:01Z,2026-07-12T20:30:01-0400,unknown,0,0,0,,,,,,,
2026-07-13T00:45:01Z,2026-07-12T20:45:01-0400,all,223,1,0,,,,,,,
2026-07-13T00:45:01Z,2026-07-12T20:45:01-0400,bus,223,1,0,,,,,,,
2026-07-13T00:45:01Z,2026-07-12T20:45:01-0400,otrain,0,0,0,,,,,,,
2026-07-13T00:45:01Z,2026-07-12T20:45:01-0400,unknown,0,0,0,,,,,,,
2026-07-13T01:00:02Z,2026-07-12T21:00:02-0400,all,212,1,0,,,,,,,
2026-07-13T01:00:02Z,2026-07-12T21:00:02-0400,bus,212,1,0,,,,,,,
2026-07-13T01:00:02Z,2026-07-12T21:00:02-0400,otrain,0,0,0,,,,,,,
2026-07-13T01:00:02Z,2026-07-12T21:00:02-0400,unknown,0,0,0,,,,,,,
2026-07-13T01:15:02Z,2026-07-12T21:15:02-0400,all,213,1,0,,,,,,,
2026-07-13T01:15:02Z,2026-07-12T21:15:02-0400,bus,213,1,0,,,,,,,
2026-07-13T01:15:02Z,2026-07-12T21:15:02-0400,otrain,0,0,0,,,,,,,
2026-07-13T01:15:02Z,2026-07-12T21:15:02-0400,unknown,0,0,0,,,,,,,
2026-07-13T01:30:01Z,2026-07-12T21:30:01-0400,all,211,0,0,,,,,,,
2026-07-13T01:30:01Z,2026-07-12T21:30:01-0400,bus,211,0,0,,,,,,,
2026-07-13T01:30:01Z,2026-07-12T21:30:01-0400,otrain,0,0,0,,,,,,,
2026-07-13T01:30:01Z,2026-07-12T21:30:01-0400,unknown,0,0,0,,,,,,,
2026-07-13T01:45:02Z,2026-07-12T21:45:02-0400,all,200,0,0,,,,,,,
2026-07-13T01:45:02Z,2026-07-12T21:45:02-0400,bus,200,0,0,,,,,,,
2026-07-13T01:45:02Z,2026-07-12T21:45:02-0400,otrain,0,0,0,,,,,,,
2026-07-13T01:45:02Z,2026-07-12T21:45:02-0400,unknown,0,0,0,,,,,,,
2026-07-13T02:00:02Z,2026-07-12T22:00:02-0400,all,191,0,0,,,,,,,
2026-07-13T02:00:02Z,2026-07-12T22:00:02-0400,bus,191,0,0,,,,,,,
2026-07-13T02:00:02Z,2026-07-12T22:00:02-0400,otrain,0,0,0,,,,,,,
2026-07-13T02:00:02Z,2026-07-12T22:00:02-0400,unknown,0,0,0,,,,,,,
2026-07-13T02:15:02Z,2026-07-12T22:15:02-0400,all,188,0,0,,,,,,,
2026-07-13T02:15:02Z,2026-07-12T22:15:02-0400,bus,188,0,0,,,,,,,
